name,id,lat,lon,capacity
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,0
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,0
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,0
"Golden Lane, Barbican",54,51.52174785,-0.094475072,0
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,0
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,0
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,0
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,2
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,1
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,1
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,1
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,0
"William IV Street, Strand",64,51.50946212,-0.124749274,0
"Gower Place , Euston",65,51.52522753,-0.13518856,0
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,0
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,0
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,0
"Euston Road, Euston",69,51.5262363,-0.134407652,1
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,0
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,0
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,0
"Old Street Station, St. Luke's",73,51.52548,-0.089659871,0
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,1
"Torrens Street, Angel",75,51.53219984,-0.105480698,0
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,0
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,0
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,1
"Arundel Street, Temple",79,51.511726,-0.11385596,0
"Webber Street , Southwark",80,51.50069361,-0.102091246,1
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,1
"Chancery Lane, Holborn",82,51.514274,-0.111257,0
"Panton Street, West End",83,51.50963938,-0.131510949,0
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,0
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,0
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,1
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,0
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,0
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,0
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593,0
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912,0
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521,2
"Cloudesley Road, Angel",93,51.53440868,-0.109025404,0
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489,1
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162,0
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384,0
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706,0
"Hampstead Road, Euston",98,51.52554222,-0.138231303,1
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483,0
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861,0
"Queen Street 1, Bank",101,51.51155322,-0.0929401,0
"Jewry Street, Aldgate",102,51.51340693,-0.076793375,0
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767,0
"Crosswall, Tower",104,51.51159481,-0.077121322,0
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716,0
"Woodstock Street, Mayfair",106,51.51410514,-0.147301667,0
"Finsbury Leisure Centre, St. Luke's",107,51.52600832,-0.096317627,1
"Abbey Orchard Street, Westminster",108,51.49812559,-0.132102166,0
"Soho Square , Soho",109,51.51563144,-0.132328837,1
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678,0
"Park Lane , Hyde Park",111,51.5100172,-0.157275636,0
"Stonecutter Street, Holborn",112,51.51580998,-0.105270275,0
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032,0
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647,0
"Braham Street, Aldgate",115,51.51423368,-0.073537654,0
"Little Argyll Street, West End",116,51.51449962,-0.141423695,0
"Lollard Street, Vauxhall",117,51.49288067,-0.114934001,0
"Rochester Row, Westminster",118,51.49582705,-0.13547809,0
"Bath Street, St. Luke's",119,51.52589324,-0.090847761,0
"The Guildhall, Guildhall",120,51.51573534,-0.093080779,0
"Baker Street, Marylebone",121,51.51891348,-0.156166631,0
"Norton Folgate, Liverpool Street",122,51.52111369,-0.078869751,0
"St. John Street, Finsbury",123,51.52836014,-0.104724625,0
"Eaton Square, Belgravia",124,51.49654462,-0.150905245,0
"Borough High Street, The Borough",125,51.50069491,-0.094524319,0
"Museum of London, Barbican",126,51.51782144,-0.096496865,0
"Wood Street, Guildhall",127,51.51700801,-0.09388536,0
"Emperor's Gate, South Kensington",128,51.49536226,-0.185296516,1
"Golden Square, Soho",129,51.5118973,-0.137043852,0
"Tower Gardens , Tower",130,51.50950627,-0.075459482,0
"Eversholt Street , Camden Town",131,51.53300545,-0.136792671,0
"Bethnal Green Road, Shoreditch",132,51.52364804,-0.074754872,0
"Derry Street, Kensington",133,51.50136494,-0.191462381,0
"Wapping High Street, Wapping",134,51.504904,-0.06797,1
"Clerkenwell Green, Clerkenwell",135,51.52326004,-0.104708922,0
"Queen Victoria Street, St. Paul's",136,51.51196176,-0.097441687,0
"Green Street, Mayfair",138,51.51227622,-0.157436972,0
"Lambeth Road, Vauxhall",139,51.49488108,-0.117974901,0
"Finsbury Square , Moorgate",140,51.52096262,-0.085634242,0
"Chapel Place, Marylebone",141,51.51530805,-0.147203711,0
"West Cromwell Road, Earl's Court",142,51.49372451,-0.198286569,0
"Pont Street, Knightsbridge",143,51.4968865,-0.161203828,0
"Kennington Cross, Kennington",144,51.48894022,-0.111435796,0
"Ilchester Place, Kensington",145,51.50074359,-0.202759212,0
"Vauxhall Bridge , Pimlico",146,51.48836528,-0.129361842,1
"Portugal Street, Holborn",147,51.51494305,-0.11614642,0
"Tachbrook Street, Victoria",148,51.49211134,-0.138364847,0
"Kennington Road Post Office, Oval",149,51.48478899,-0.110683213,0
"Holy Trinity Brompton, Knightsbridge",150,51.49705603,-0.168917077,0
"Chepstow Villas, Notting Hill",151,51.51213691,-0.201554966,2
"Hampton Street, Walworth",152,51.49217002,-0.101536865,1
"Bayswater Road, Hyde Park",153,51.511933,-0.174411,1
"Waterloo Station 3, Waterloo",154,51.50379168,-0.11282408,6
"Lexham Gardens, Kensington",155,51.49586666,-0.191933711,0
"New Kent Road, The Borough",156,51.49443626,-0.092921165,0
"Wright's Lane, Kensington",157,51.50039792,-0.193068385,0
"Trebovir Road, Earl's Court",158,51.49085368,-0.196170309,0
"Waterloo Place, St. James's",160,51.50663341,-0.131773845,0
"Guildhouse Street, Victoria",161,51.49234577,-0.141334487,0
"Southampton Place, Holborn",162,51.51760685,-0.121328408,0
"Sloane Avenue, Knightsbridge",163,51.4931848,-0.167894973,0
"Cleveland Gardens, Bayswater",164,51.515607,-0.183118788,0
"Orsett Terrace, Bayswater",165,51.517932,-0.183716959,0
"Seville Street, Knightsbridge",166,51.50185512,-0.159237081,0
"Eccleston Place, Victoria",167,51.49395092,-0.147624377,1
"Argyll Road, Kensington",168,51.50040123,-0.195455928,0
"Porchester Place, Paddington",169,51.51474612,-0.165164288,0
"Hardwick Street, Clerkenwell",170,51.5278427,-0.1080682,0
"Collingham Gardens, Earl's Court",171,51.4916156,-0.186753859,0
"Sumner Place, South Kensington",172,51.49121192,-0.173715911,0
"Waterloo Road, South Bank",173,51.50486,-0.113001,1
"Strand, Strand",174,51.512582,-0.1150573,0
"Worship Street, Shoreditch",175,51.521668,-0.079608554,0
"Gloucester Terrace, Bayswater",176,51.51791921,-0.188098863,0
"Ashley Place, Victoria",177,51.49616092,-0.140947636,1
"Warwick Square, Pimlico",178,51.48985626,-0.141923621,0
"North Audley Street, Mayfair",180,51.5129118,-0.153645496,0
"Belgrave Square, Belgravia",181,51.49941247,-0.152317537,0
"Bell Street , Marylebone",182,51.52202903,-0.165842551,0
"Riverlight North, Nine Elms",183,51.482362,-0.13612398,2
"Portland Place, Marylebone",184,51.52071513,-0.14521173,0
"Alderney Street, Pimlico",185,51.48805753,-0.140741432,1
"South Wharf Road, Paddington",186,51.51733558,-0.175810943,1
"Queen's Gate (South), South Kensington",187,51.49247977,-0.178433004,0
"Nutford Place, Marylebone",188,51.5165179,-0.164393768,1
"Claremont Square, Angel",189,51.53166681,-0.109914711,0
"Rampayne Street, Pimlico",190,51.48997562,-0.132845681,2
"Hyde Park Corner, Hyde Park",191,51.50311799,-0.153520935,0
"Wardour Street, Soho",192,51.51251523,-0.133201961,1
"Bankside Mix, Bankside",193,51.50581776,-0.100186337,0
"Hop Exchange, The Borough",194,51.50462759,-0.091773776,0
"Milroy Walk, South Bank",195,51.50724437,-0.106237501,0
"Union Street, The Borough",196,51.50368837,-0.098497684,0
"Stamford Street, South Bank",197,51.50556905,-0.111606696,0
"Great Tower Street, Monument",199,51.51048489,-0.082989638,1
"LMU Commercial Road, Whitechapel",200,51.51492456,-0.066078037,2
"Dorset Square, Marylebone",201,51.5225965,-0.161113413,1
"Leman Street, Aldgate",202,51.51236389,-0.06954201,1
"West Smithfield Rotunda, Farringdon",203,51.51821864,-0.100791005,0
"Margery Street, Clerkenwell",204,51.52659961,-0.112432615,0
"New Road 1 , Whitechapel",206,51.518154,-0.062697,3
"Grosvenor Crescent, Belgravia",207,51.50135267,-0.153194766,0
"Mallory Street, Marylebone",208,51.52505151,-0.166304359,0
"Denyer Street, Knightsbridge",209,51.49358391,-0.165101392,0
"Hinde Street, Marylebone",210,51.51681444,-0.151926305,0
"Campden Hill Road, Notting Hill",212,51.50658458,-0.199004026,1
"Wellington Arch, Hyde Park",213,51.50274025,-0.149569201,0
"Endsleigh Gardens, Euston",214,51.52683806,-0.130504336,1
"Moorfields, Moorgate",215,51.51906932,-0.088285377,0
"Old Brompton Road, South Kensington",216,51.49094565,-0.181190899,0
"Wormwood Street, Liverpool Street",217,51.51615461,-0.082422399,0
"St. Luke's Church, Chelsea",218,51.48971651,-0.170194408,0
"Bramham Gardens, Earl's Court",219,51.49016361,-0.19039362,1
"Chelsea Green, Chelsea",220,51.49066456,-0.166485083,2
"Horseferry Road, Westminster",221,51.49481649,-0.13045856,0
